Row;SYN-based;DATA-based;ACK-based
16074;0;1;1
35787;1;1;1
28999;1;1;1
55293;1;1;1
11383;1;1;1
197859;1;1;1
201722;1;1;1
51065;1;1;1
12701;1;0;0
12703;1;1;1
22001;1;1;1
60351;1;1;1
60357;1;1;1
27285;0;1;1
57724;1;1;1
6798;1;1;1
51608;1;1;1
32787;1;1;1
60822;1;1;1
21101;1;1;1
21108;1;1;1
43989;1;1;1
198830;1;1;1
44981;1;1;1
31242;1;1;1
17252;1;1;1
34347;1;1;1
43503;1;1;1
20746;1;1;1
17033;1;1;1
20740;1;1;1
132727;1;1;1
24880;1;0;1
201942;1;1;1
101;1;1;1
39923;1;1;1
4812;1;1;1
4816;1;1;1
36444;1;1;1
16814;1;1;1
12129;1;1;1
57507;1;1;1
204642;1;1;1
53605;1;1;1
197695;1;1;1
197696;1;1;1
199547;1;1;1
40988;1;1;1
24088;1;1;1
42831;1;1;1
22878;1;1;1
33070;1;1;1
198128;1;1;1
41231;1;1;1
41230;1;1;1
48362;1;1;1
2686;1;1;1
2687;1;1;1
36024;1;1;1
41692;1;1;1
6805;1;1;1
33214;1;1;1
39104;1;1;1
34971;0;1;0
49419;1;1;1
9930;1;1;1
21430;1;1;1
3201;1;1;1
49788;1;1;1
3209;1;1;1
198545;1;1;1
198012;1;1;1
8839;1;1;1
13180;1;1;1
41585;1;1;1
198018;1;1;1
2860;1;1;1
41765;1;1;1
202140;1;1;1
33854;1;1;1
30630;1;1;1
30633;1;1;1
197075;1;1;1
33695;1;1;1
58321;1;1;1
15663;1;1;1
12941;1;1;1
62086;1;1;0
62081;1;1;1
62240;1;1;1
207042;1;1;1
59586;1;1;1
1759;1;1;1
15440;1;1;1
47217;1;0;1
31122;1;1;1
5537;1;1;1
5539;1;1;1
5538;1;1;1
47692;1;1;1
39591;1;1;1
8764;1;1;1
8767;1;1;1
34372;0;1;1
31239;1;1;1
680;1;1;1
12709;1;1;1
12831;1;1;1
201602;1;1;1
12835;1;1;1
12834;1;1;1
34555;1;1;1
8542;1;1;1
5626;1;1;1
48951;1;1;1
8492;1;1;1
28749;1;1;1
