Row;SYN-based;DATA-based;ACK-based
154.54.36.53;1;1;1
62.115.114.86;1;1;1
66.249.94.153;1;1;0
62.115.114.89;1;1;1
91.103.112.125;1;1;1
95.140.128.16;1;1;1
49.255.43.190;1;1;1
185.232.237.1;1;1;1
5.32.175.18;1;1;1
81.29.200.158;1;1;1
216.66.83.238;1;0;0
154.54.36.58;1;1;1
217.171.232.254;1;1;1
62.80.99.164;1;1;1
62.115.114.235;1;1;1
129.250.200.250;1;1;1
176.52.205.90;1;1;1
193.180.17.239;1;1;1
192.243.214.12;1;1;1
154.54.37.58;1;1;1
213.140.22.25;1;1;1
154.54.37.53;1;1;1
212.6.115.2;1;1;1
185.229.8.86;1;1;1
80.239.135.177;1;1;1
83.151.156.10;1;1;1
194.79.131.86;1;1;1
204.10.64.130;1;0;1
185.114.3.42;1;1;1
194.79.131.89;1;1;1
212.51.31.213;1;1;1
213.80.87.109;1;1;1
46.33.71.250;1;1;1
194.78.71.26;1;1;1
62.148.62.175;1;1;1
109.69.184.161;1;1;1
167.23.128.241;1;1;1
91.203.212.14;1;1;1
195.210.57.19;1;1;1
93.61.107.158;1;1;1
38.142.132.170;1;1;1
185.31.220.7;1;0;1
184.105.65.50;1;1;1
184.105.65.57;1;1;1
89.96.27.218;1;1;1
148.62.41.135;1;1;1
154.54.42.97;1;1;1
153.88.252.40;1;1;1
64.125.26.151;1;1;1
116.0.82.62;1;1;1
93.54.6.146;1;1;1
130.117.15.70;1;1;1
204.2.241.58;1;1;1
83.143.130.51;1;1;1
195.48.70.19;1;1;1
64.125.29.71;1;1;1
184.105.222.165;1;1;1
74.122.191.93;1;1;1
62.115.181.201;1;1;1
85.18.227.74;1;1;1
154.54.59.186;1;1;1
46.244.0.198;1;1;0
154.54.59.181;1;1;1
217.29.67.42;1;1;1
217.11.220.26;1;1;1
87.245.233.136;1;1;1
4.69.202.165;1;1;1
93.185.113.62;1;1;1
109.68.144.65;1;1;1
193.138.123.29;1;1;1
66.206.33.92;1;1;1
184.105.64.106;1;1;1
184.105.64.54;1;1;1
195.2.9.193;1;1;1
129.250.6.49;1;1;1
87.108.1.158;1;1;1
129.250.3.88;1;1;1
130.117.0.150;1;1;1
129.250.3.84;1;1;1
129.250.3.82;1;1;1
212.89.142.238;1;1;1
