Row;SYN-based;DATA-based;ACK-based
154.54.36.53;1;1;1
154.54.36.54;1;0;1
62.115.114.86;1;1;1
66.249.94.153;1;0;0
62.115.114.89;1;1;1
91.103.112.125;1;1;1
204.148.105.34;1;1;1
205.147.94.55;1;1;0
1.208.172.18;1;0;1
185.232.237.1;1;1;1
107.14.19.48;1;1;1
81.29.200.158;1;1;1
103.22.168.142;1;1;1
154.54.36.58;1;1;1
217.171.232.254;1;1;1
62.80.99.164;1;1;1
62.115.114.235;1;1;1
98.138.97.152;1;1;0
98.138.97.153;1;1;1
115.160.187.54;0;1;1
89.149.143.154;0;1;0
129.250.200.250;1;1;1
176.52.205.90;1;1;1
193.180.17.239;1;1;1
213.200.117.241;0;0;1
192.243.214.12;1;1;1
80.71.64.214;1;0;1
154.54.37.58;1;1;1
213.140.22.25;1;1;1
212.158.250.41;1;1;1
212.6.115.2;1;1;1
93.191.9.154;1;0;1
213.242.65.206;1;1;1
62.179.21.18;1;1;1
80.239.135.177;1;0;0
83.151.156.10;1;1;1
194.79.131.86;1;1;1
204.10.64.130;1;0;0
204.10.64.131;1;1;1
216.66.74.214;0;1;1
194.79.131.89;1;1;1
212.51.31.213;1;1;1
213.80.87.109;1;1;1
1.208.144.154;0;1;0
86.111.43.201;1;0;0
46.33.71.250;1;1;1
194.78.71.26;1;1;1
62.148.62.175;1;1;1
31.31.38.149;1;1;1
109.69.184.161;1;1;1
167.23.128.241;1;1;1
91.203.212.14;1;1;1
62.115.134.241;1;1;1
38.142.132.170;1;1;1
185.31.220.7;1;1;1
89.228.4.172;0;0;1
184.105.65.57;1;1;1
89.96.27.218;1;1;1
148.62.41.135;1;0;0
84.93.253.94;1;1;1
154.54.42.97;1;1;1
62.78.127.1;1;1;1
153.88.252.40;1;1;1
64.125.26.151;1;1;1
116.0.82.62;1;1;1
166.49.164.207;1;0;0
166.49.164.205;1;0;0
93.54.6.146;1;1;1
130.117.15.70;1;1;1
204.2.241.58;1;1;1
83.143.130.51;1;1;1
195.48.70.19;1;1;1
184.105.222.165;1;1;1
74.122.191.93;1;1;0
74.40.4.178;1;1;1
154.24.1.86;1;1;1
103.246.248.74;1;1;1
154.54.59.186;1;1;1
