Row;SYN-based;DATA-based;ACK-based
129912301;1;1;1
701817227;1;1;1
701817225;1;1;1
129955002;1;1;1
2914394308;1;1;1
2952258321;0;1;0
26862687;1;1;1
129940065;1;1;1
17420926;1;1;1
900957136;1;1;1
1542648729;1;1;1
1295622927;1;1;1
1583027285;0;1;1
131569186;1;1;1
17430447;1;1;1
249903215;1;1;0
3278712428;1;1;1
174396300;1;1;1
645312696;1;1;1
3384324766;1;1;1
693932097;1;1;1
69397753;1;1;1
17430844;1;1;1
17440900;1;1;1
129961157;1;1;1
17451790;1;1;1
17648445;1;1;1
9002200487;1;1;0
12008218;1;1;1
12998473;1;1;1
33563549;1;1;1
489718652;1;1;1
39120198128;1;0;0
129957866;1;1;1
11486701;1;0;0
1129021548;1;1;1
20101160955;1;1;1
3257174;0;1;0
17412260;1;1;1
673021113;1;1;1
69394826;1;1;1
291429686;1;1;1
29143327;1;1;1
17431241;1;1;1
66619008;1;1;1
3126350196;0;1;1
249717707;1;1;1
306003801;1;1;1
84555524;1;1;1
204958312;1;1;1
5087731686;0;1;1
836848517;1;1;1
2901720860;1;1;1
673025563;0;1;1
558850698;1;1;1
1745430;1;1;1
19854529152;1;1;1
1989678925;1;1;1
876712886;1;1;1
326947136;1;1;1
4333350840;1;1;1
2150359586;1;1;1
88591299;1;0;0
2132032934;1;1;1
39449715348;1;1;1
506739002;1;0;0
1746667;1;1;1
504829198;1;1;1
69391610;1;1;1
3150044050;1;1;1
1303035518;0;1;1
17432748;1;1;1
868024851;0;1;1
35706137;0;1;0
1287415584;0;1;1
900231510;1;1;1
75459942;1;1;1
17412996;1;1;1
17412778;1;1;1
48264851;0;0;1
17425653;1;1;1
701840196;1;1;1
2053799119;1;0;0
25885538;1;1;1
90026697;1;1;1
32236663;1;1;1
33568362;1;1;1
4688732025;1;1;1
176429545;1;1;1
64615693;1;1;1
5062949855;1;1;1
96803462;1;1;1
17420141;1;1;1
1748820;1;1;1
892834510;1;1;1
17413009;1;1;1
1748553;0;0;1
33567922;0;1;1
12995521;1;1;1
2951848871;1;1;1
68308953;1;1;1
560343128;0;1;1
126376831;0;1;1
330359810;1;1;1
6007141075;0;1;0
33205483;1;1;1
1303049983;1;1;1
20101139138;1;1;1
174137;0;1;0
325725973;1;1;1
3113331208;1;1;1
560344632;1;1;1
129925248;1;1;1
129912578;1;1;1
1299855;1;1;1
11857209;1;0;0
201011204038;1;1;1
683112637;1;0;0
