Row;SYN-based;DATA-based;ACK-based
149.14.68.166217.150.38.77;1;1;1
212.74.72.13213.61.135.30;1;1;1
154.54.44.141154.54.43.150;1;1;1
64.125.30.5264.125.31.193;1;1;1
217.29.66.10294.124.64.67;1;1;1
199.180.187.132146.88.114.23;1;1;1
184.105.64.238216.66.87.106;1;1;1
213.248.89.122213.29.165.82;1;1;1
154.24.8.23038.104.135.226;1;1;1
62.115.14.117144.208.211.65;1;1;1
62.115.114.9162.115.175.117;1;1;1
18.2.4.11018.0.161.13;1;1;1
154.54.36.58130.117.2.34;1;1;1
64.125.26.4364.125.26.247;1;1;1
129.250.4.245129.250.2.185;1;1;1
84.116.229.24285.126.105.190;1;1;1
88.81.245.077.88.203.1;1;1;1
83.167.55.16383.167.52.225;1;1;1
154.54.61.34130.117.15.70;1;1;1
184.105.80.10184.105.64.102;1;1;1
84.116.217.5095.77.57.214;1;1;1
87.230.113.187.230.113.9;1;1;1
46.59.113.12046.59.112.122;1;1;0
154.54.59.186154.54.59.105;1;1;1
62.115.169.22781.173.74.66;1;1;1
154.54.39.186149.11.38.142;1;1;1
130.117.0.121130.117.1.181;1;1;1
216.66.90.78217.170.19.212;1;1;1
217.29.67.42185.157.228.7;1;1;1
213.61.56.50194.37.87.5;1;0;0
202.97.91.157119.147.220.114;1;1;1
62.115.138.17362.115.141.111;1;1;1
154.25.6.18281.88.42.84;1;1;1
77.244.255.9877.244.255.56;1;1;1
130.117.2.21130.117.50.165;1;1;1
213.19.196.190176.74.228.12;1;1;1
62.115.142.20962.115.153.241;1;1;1
129.250.3.84129.250.4.166;1;1;1
154.54.45.162154.54.30.6;1;1;1
130.117.2.21154.54.85.18;1;1;1
135.11.7.34135.11.22.4;1;1;1
129.250.2.2583.231.214.126;1;1;1
38.104.154.22205.237.40.126;1;1;1
154.54.12.22144.232.22.66;1;1;1
66.28.4.182154.54.11.66;1;1;1
154.54.57.162149.6.187.126;1;1;1
184.105.213.218184.105.81.150;1;1;1
130.117.50.133154.25.12.13;1;1;1
62.115.162.249195.0.240.60;1;1;1
66.28.4.242154.24.17.218;1;1;1
108.170.245.6672.14.234.20;1;1;1
149.14.83.10195.160.202.14;1;1;1
62.115.136.8162.115.144.75;1;1;1
38.142.132.5875.98.175.255;1;1;1
82.197.164.194213.144.148.3;1;1;1
87.245.232.12887.245.253.2;1;1;1
91.196.184.10046.18.174.222;1;1;1
154.54.27.169154.54.0.142;1;1;1
129.250.2.133129.250.5.214;1;1;1
64.125.24.18664.125.25.62;1;1;1
12.123.138.13312.127.188.6;1;1;1
212.90.1.7162.94.45.18;1;1;1
129.134.44.210129.134.45.47;1;1;1
129.250.4.13382.112.96.178;1;1;1
130.117.14.15489.149.143.186;0;0;1
4.69.153.186213.19.196.214;1;0;0
212.18.6.24793.104.193.58;1;1;1
82.119.245.15482.113.33.46;1;1;1
62.115.133.22662.115.141.241;1;1;1
62.115.138.133213.248.88.250;1;0;1
95.169.160.5495.169.160.46;1;1;1
154.54.1.118154.54.47.253;1;1;1
46.59.113.23846.59.113.122;1;1;1
88.86.98.4294.124.104.66;1;1;1
149.6.88.15593.185.114.178;1;1;1
149.6.84.66188.65.170.3;1;1;1
84.116.134.19784.116.130.226;1;1;1
130.117.1.250149.29.4.2;1;1;1
212.74.65.49212.31.233.126;1;1;1
195.206.13.50130.255.144.1;1;1;1
62.115.171.243148.72.32.16;1;1;1
80.91.246.78213.248.87.22;1;1;1
217.29.66.159213.248.89.210;1;1;1
130.117.15.6185.70.203.11;1;1;1
185.48.244.134212.8.201.184;1;1;1
166.49.208.237166.49.168.195;1;1;1
154.54.57.206154.54.37.141;1;1;1
62.115.147.7531.169.49.181;1;1;1
184.105.222.21184.105.81.166;1;1;1
62.115.46.121205.251.126.101;1;1;1
62.115.138.1162.115.54.186;1;1;1
77.245.26.6577.245.26.9;1;1;1
31.170.10.6131.170.10.2;1;1;1
62.115.45.130109.68.93.66;1;1;1
212.239.107.172212.239.111.148;1;1;1
145.222.130.18145.222.130.26;1;1;1
90.147.80.210217.29.66.193;1;1;1
90.147.80.210217.29.66.192;1;1;1
90.147.80.210217.29.66.194;1;1;1
90.147.80.210217.29.66.197;1;1;1
90.147.80.210217.29.66.198;1;1;1
84.116.134.22184.116.135.6;1;1;1
154.25.8.162149.11.162.82;1;1;1
154.54.57.106149.6.149.202;1;1;1
109.168.0.165109.168.0.38;1;1;1
217.29.66.68212.74.73.120;1;1;1
203.220.216.3860.241.110.178;1;0;1
138.187.129.13138.187.153.5;1;1;1
134.222.48.174134.222.48.147;1;1;1
80.67.0.25531.24.66.10;1;1;1
212.13.240.5891.198.190.9;1;1;1
62.115.167.23584.39.109.145;1;1;0
