Row;SYN-based;DATA-based;ACK-based
21320513;1;1;1
129912301;1;1;1
92119007;1;0;0
129961157;1;1;1
701817225;1;1;1
129955002;1;1;1
2914394308;1;1;1
26862687;1;1;1
5087731686;1;1;1
17420926;1;1;1
64615693;1;1;1
17433132;1;1;1
1583027285;0;1;1
98917568;1;0;0
131569186;1;1;1
17430447;1;1;1
249903215;1;0;0
1031036646;1;1;1
1031036647;1;1;1
85606939;1;0;0
3278712428;1;1;1
174396300;1;1;1
17451155;1;1;1
645312696;1;1;1
3384324766;1;1;1
693932097;1;1;1
247851126;0;1;1
69397753;1;1;1
60822201367;1;1;1
17430844;1;1;1
17440900;1;1;1
354926662;1;1;1
17451790;1;1;1
17648445;1;1;1
9002200487;0;0;1
693922653;1;1;1
5748531251;0;1;0
2048549335;1;1;1
12008218;1;1;1
12998473;1;1;1
33563549;1;1;1
489718652;1;1;1
39120198128;0;1;1
683033925;1;1;1
129957866;1;1;1
645362240;1;1;1
1129021548;1;1;1
8455200831;1;1;1
876421211;1;1;1
20101160955;1;1;1
17431083;1;1;1
17412260;1;1;1
673021113;1;1;1
69394826;1;1;1
291429686;1;1;1
29143327;1;1;1
66619008;1;1;1
3126350196;1;1;1
249717707;1;1;1
69399186;1;0;0
84555524;1;1;1
693961211;1;1;1
204958312;1;1;1
129940065;1;1;1
836848517;1;1;1
2901720860;1;1;1
673025563;1;1;1
558850698;1;1;1
1745430;1;1;1
19854529152;1;1;1
876712886;1;1;1
17412350;1;1;1
326947136;1;1;1
4333350840;1;1;1
2150359586;1;1;1
2132032934;1;1;1
39449715348;1;1;1
1746667;1;1;1
504829198;1;1;1
69391610;1;0;1
354941415;1;0;1
1542648729;0;1;1
3150044050;1;1;1
326912874;1;1;1
1303035518;0;1;1
4688718970;1;1;1
17432748;1;1;1
868024851;0;0;1
1287415584;1;1;1
900231510;1;1;1
646138195;1;1;1
17412778;1;1;1
17425653;1;1;1
701840196;1;1;1
17436024;1;1;1
25885538;1;1;1
174393676;1;1;1
32236663;1;1;1
33568362;1;1;1
4688732025;0;1;1
176429545;1;0;0
5062949855;1;1;1
96803462;1;1;1
17420141;1;1;1
1748820;1;1;1
207646697;0;1;1
892834510;1;1;1
17413009;1;1;1
1748553;1;1;1
129912996;1;1;1
33567922;0;1;0
12995521;1;1;1
2951848871;1;1;1
68308953;1;1;1
560343128;0;1;1
126376831;1;1;1
67623223;1;1;1
33205483;1;1;1
1303049983;1;1;1
20101139138;1;1;1
325739179;1;1;1
325725973;1;1;1
291434209;1;1;1
560344632;1;1;1
129925248;1;1;1
129912578;1;1;1
1299855;1;1;1
2262526250;0;1;1
17443142;0;1;1
321241828;1;1;1
335657739;1;1;1
482655803;1;1;1
291413237;1;1;1
12006461;1;1;1
646115961;1;1;1
645329624;1;1;1
32126939;1;0;0
321629076;1;1;1
58299174;1;1;1
12993257;1;1;1
32787197651;1;1;1
2048530943;1;1;1
822045037;1;1;1
1747018;1;1;1
5772425227;0;1;1
646119318;1;1;1
1287413180;1;1;1
17436444;1;1;1
43350197395;1;1;1
810020068;1;1;1
1599429485;1;1;1
174395954;1;1;1
693946887;1;1;1
17449289;1;1;1
29143786;1;1;1
1323731521;1;1;1
291453907;1;1;1
3257197226;1;1;0
3302204096;1;1;1
906624956;1;1;1
693960357;1;0;0
129944735;1;1;1
326944512;1;1;1
13712989;1;1;1
69398595;1;0;0
646132475;1;1;1
3963616141;1;1;1
2545942161;1;1;1
90025483;1;1;1
1371299;1;1;1
2897850607;1;0;0
2110203060;0;1;1
17451561;1;1;1
1303031424;1;1;1
20912201127;1;1;1
2101347297;1;1;1
31034197589;1;1;1
17429140;1;1;1
268612422;1;1;1
129910913;1;0;1
2093561;1;1;1
2116201577;1;1;1
1747922;1;1;1
6218676;1;1;1
67626898;1;1;1
24785198012;0;1;1
646113354;1;1;1
129958269;1;1;1
129915743;1;1;1
17415085;1;1;1
126724780;1;1;1
393928778;1;1;1
330334261;1;1;1
320939290;1;1;1
32578928;1;1;1
12998732;1;1;1
12732529;1;1;1
201011202524;1;1;1
693912620;1;1;1
3939231246;1;1;1
2048534470;1;1;1
3269199084;1;1;1
822016316;1;0;1
129935908;1;1;1
3051714175;1;1;1
2010118339;1;1;1
39179196745;1;1;1
12998648;1;1;1
291419271;1;1;1
1746898;1;1;1
822060481;0;1;1
1746677;1;1;1
892812445;1;1;1
807517020;1;1;1
877831679;1;1;1
1287448423;1;1;1
17442093;1;1;1
20101149532;1;1;1
64616423;1;1;1
17442652;1;1;1
680539706;0;1;1
9002197091;1;1;1
6219479;1;1;1
646135914;1;1;1
17412941;1;1;1
2931120562;1;0;0
5118424992;1;1;1
320915415;1;1;1
693913536;1;1;1
12993292;1;1;1
12995511;1;0;0
320915894;1;1;1
12995518;1;1;1
17461189;1;1;1
693938040;1;1;1
693946506;1;1;1
845520495;1;1;1
129960350;1;1;1
689851852;1;1;1
1287447875;1;1;1
129962955;1;0;1
129913760;1;1;1
129913767;1;1;1
3209733387;1;0;0
482624192;1;1;1
47394802;0;0;1
40988174;1;1;1
1742711;0;1;1
120043350;1;1;1
4335043366;1;1;1
1255239369;0;1;1
693949505;1;0;0
4928915472;1;1;1
90638937;1;1;1
19820324785;1;0;0
12995645;1;1;1
646150292;1;1;1
1142730630;1;0;1
132378881;1;1;1
335649685;1;1;1
646111855;1;1;1
335641692;1;1;1
1287449733;1;1;1
540015495;1;1;1
1744637;1;1;1
69399500;1;1;1
646119108;1;1;1
201011198967;1;1;1
335630889;1;1;1
207646939;1;0;0
354928299;1;1;1
13715169;1;1;1
1287421034;1;1;1
6294946887;1;0;0
274466939;1;0;0
2539425560;1;0;0
326742289;1;1;1
876447205;0;0;1
1353621547;1;1;1
17431319;1;1;1
69398560;1;1;1
1299197308;1;1;1
1287420981;1;1;1
876424645;1;0;1
821831167;1;1;1
1287421451;1;1;1
32691267;1;0;1
3257197155;1;1;1
129945899;1;1;1
1153710578;1;1;1
1722636803;1;1;1
683031239;1;1;1
12998251;1;1;1
17431404;1;1;1
12996697;1;1;1
64618100;1;1;1
48266939;1;0;1
1747393;1;1;1
3430933873;1;1;1
3081850613;1;1;1
5060728978;0;1;1
3269199352;1;1;1
683041913;1;1;1
174202140;1;0;1
129944700;1;1;1
29147029;1;1;1
126715663;1;1;1
17435366;1;1;1
17434762;1;1;1
17448635;1;1;1
1376713951;1;1;1
17412179;1;1;1
89288554;1;1;1
17412392;1;1;1
693935787;1;0;0
326942345;1;1;1
693912129;0;1;1
8220204689;1;1;1
54002856;1;1;1
3359740015;1;1;1
1287416297;1;1;1
17413156;1;0;0
2084716350;1;1;1
914512460;1;0;1
900231287;1;1;1
17429488;1;1;1
11537101;1;1;1
646118501;1;1;1
17434309;1;1;1
335612902;1;1;1
17445011;1;1;1
174198545;1;1;1
17460294;1;1;1
20101139392;1;1;1
701813893;0;0;1
693950607;1;1;1
693948596;0;1;1
489189030;1;1;1
17412956;1;1;1
208046939;0;0;1
3102751608;1;1;1
174209;1;1;1
69396697;1;0;0
17444949;1;1;1
693938277;0;1;1
1303033843;1;1;1
4252543088;1;1;1
693915685;1;1;1
1749002;1;1;1
12995505;1;1;1
646134305;1;1;1
17433811;1;1;1
17454489;1;1;1
20920478;1;1;1
17410439;1;1;1
17645403;1;1;1
17461194;1;1;1
17460349;1;1;1
1745391;1;1;1
12006939;1;1;0
174198785;0;0;1
693958291;1;1;1
7022830;1;1;1
129951468;1;1;1
693918779;0;1;1
12874200448;1;1;1
335623005;1;1;1
75454739;1;1;1
335624679;1;1;1
26033267;1;1;1
89373320;1;1;1
291417054;1;1;1
17422923;1;1;1
322334779;1;1;1
126716027;0;0;1
1910830496;1;1;1
271121565;1;1;1
129929535;1;1;1
326949289;1;1;1
51048200147;1;0;1
822013043;1;0;0
132378879;1;1;1
58321198414;1;1;1
17430676;1;1;1
645343424;1;1;1
20101115817;1;1;1
129930083;1;1;1
325762134;1;1;1
20101147692;1;1;1
693928917;1;1;1
2300563061;1;1;1
17424218;1;1;1
3384312374;1;1;1
17439647;1;1;1
3913812355;1;1;1
5400206618;1;1;1
84009125;1;1;1
129929551;1;1;1
3102728717;1;1;1
20911633;1;1;1
822044567;1;1;1
11845327979;1;1;1
693931251;1;0;1
20773198047;1;1;1
683033915;1;1;1
247856939;1;1;0
129920940;1;1;1
673049457;1;0;0
39449732491;1;1;1
130306772;1;1;1
3500048096;1;1;1
69394657;1;1;1
17429169;1;1;1
17412540;1;1;1
291423352;1;1;1
693944901;1;1;1
8220200003;1;1;1
646133695;1;1;1
792246296;1;1;0
693920804;1;0;1
129915763;1;1;1
900257344;1;1;1
17457910;1;1;1
291424642;1;1;1
842233984;1;1;1
33565603;1;1;1
17460800;1;1;1
646129863;1;1;1
4968528878;1;1;1
565011753;1;1;1
17431122;1;1;1
3131957507;1;1;1
324942300;1;1;1
4954425820;1;1;1
332021197;1;0;1
291441230;1;1;1
950037979;0;1;1
33568881;1;1;1
21155201718;1;1;1
291416080;1;1;1
646129668;1;1;1
29146429;1;1;1
4270839806;1;1;1
1749729;1;1;1
646112025;1;1;1
82208758;1;1;1
32573356;1;1;1
17446573;0;0;1
17447886;1;1;1
129924785;1;1;1
12393786;1;1;1
335626245;1;1;1
646154825;1;1;1
374222030;1;1;1
1748855;1;1;1
330348038;1;1;1
693943171;1;0;0
17413039;1;1;1
128746734;1;1;1
876742821;1;1;1
1742914;1;1;1
70111486;1;1;1
1749031;1;1;1
2478535467;1;1;1
693935000;1;1;0
20101113101;1;1;1
1749211;1;1;1
325724785;1;1;1
201011204053;1;1;1
3356161;1;1;1
900249505;1;1;1
190097018;1;1;0
46371221;1;1;1
6409856270;1;1;1
3274835017;1;1;1
900234700;1;1;1
129925415;1;1;1
1742828;1;1;1
3513128716;1;1;1
336729907;0;1;1
180687506;1;0;0
349110310;1;1;1
2871635130;1;1;1
17433260;1;0;1
822057533;1;1;1
129913293;1;1;1
20101133988;1;1;1
12993320;1;1;1
335641508;1;1;1
291451088;1;1;1
326935359;1;0;0
2478520847;0;1;1
129950304;1;1;1
822034960;1;1;1
821848943;1;1;1
3569959432;1;1;1
4760549282;1;1;1
3936762639;1;1;1
4231339611;1;1;1
9063203437;1;1;1
26031653;1;1;1
129947536;1;1;1
693927446;1;1;1
1743741;1;1;1
1287421058;1;1;1
1295623201;1;1;1
646113767;1;1;1
1969346887;1;0;0
693953755;1;1;1
1323731197;1;0;0
676231500;1;1;1
1299199213;1;1;1
1231221336;1;1;1
6939198012;1;0;0
821834752;1;1;1
1925717252;1;1;1
4816629182;1;1;1
31424174;1;1;1
5060642673;0;0;1
693922878;0;1;1
3102744869;1;1;1
332012291;1;1;1
17439783;1;1;1
32523254;1;1;1
1231020616;1;1;1
20101150673;1;1;1
21309196966;1;1;1
1303047302;1;1;1
3939239906;1;1;1
8220201942;1;1;1
126752030;1;1;1
3430942263;1;1;1
31027204274;1;1;1
646112703;1;1;1
325751483;1;1;1
2914394497;1;1;1
332024582;1;1;1
129930950;1;1;1
1310120694;1;1;1
914549494;1;1;1
247686939;1;0;0
28566871;1;1;0
892841960;1;1;1
16532841;1;1;1
48269790;1;1;1
17450463;1;1;1
2478557795;0;0;1
683048571;1;1;1
86573243;1;1;1
70123287;1;1;1
129948173;1;1;1
17457344;1;1;1
330312511;1;1;1
178586453;1;1;1
900239704;1;1;1
129915366;1;1;1
12874198045;1;1;1
1255241369;1;1;1
4107560071;0;1;1
4292715541;1;1;1
17412732;1;1;1
17446562;1;1;1
1299206274;1;1;1
12998764;1;1;1
1287415529;1;1;1
64533356;1;1;1
17413194;1;1;1
6461133618;1;1;1
268612980;1;1;1
693920161;1;1;1
1741239;1;1;1
17453264;1;1;1
693938182;1;1;1
1749022;1;1;1
2076443317;0;1;1
17450919;1;1;1
285621874;1;1;1
1287451065;0;1;1
2593200480;1;1;1
859520764;1;0;0
17444981;1;1;1
1273244716;0;1;1
64617385;1;1;1
1031026101;1;1;1
28631078;1;1;1
693920764;1;1;1
693957866;1;1;1
322324961;1;1;1
2086029017;1;1;1
693920562;1;0;0
291439637;1;1;1
1749116;1;1;1
129942708;1;1;1
558829134;1;1;1
17417506;1;1;1
332621219;1;1;1
900248166;1;1;1
9790132727;0;1;1
129917444;1;1;1
17441000;1;1;1
475518229;1;1;1
12997473;1;1;1
646115290;1;0;0
330359810;1;1;1
1267198349;1;1;1
20101162035;1;1;1
129913135;1;1;1
6216477;1;1;1
482655752;1;1;1
291424334;1;1;1
17441135;1;1;1
129934655;1;0;1
380404618;1;1;1
253949188;1;1;1
70183573;1;1;1
4714744453;1;1;1
1987520161;1;0;0
126720697;1;1;1
646114742;1;1;1
646114744;1;1;1
693928978;1;0;0
335650857;1;1;1
1555734006;1;1;1
129929208;1;1;1
129934385;1;1;1
4688762949;1;1;1
13030198249;1;1;1
17415612;1;1;1
90028492;1;1;1
822039702;1;1;1
393849186;0;1;1
6461197872;1;0;1
10796395176;1;1;1
69398551;1;0;0
327876623;1;1;1
911943854;0;1;1
20101128876;1;1;1
325735393;1;1;1
91865626;1;1;1
900224971;1;1;1
15589201474;1;1;1
1743356;1;1;1
95006939;0;0;1
3113331208;1;1;1
900225229;1;1;1
4199830915;1;1;1
693963297;1;0;0
335648484;1;1;1
17411290;1;1;1
1299158;1;1;1
124798311;1;1;1
3269197954;1;1;1
129941564;1;1;1
17447372;1;1;1
822044548;1;1;1
44869203646;1;1;1
12999085;1;1;1
69399119;1;1;1
291446844;1;1;1
3049663410;1;1;1
3320198139;1;1;1
673028749;1;1;1
17435339;1;1;1
1746453;1;1;1
17434555;1;1;1
17425466;1;1;1
291442927;1;1;1
3819545671;1;1;1
1287425301;1;1;1
207645563;0;1;1
129912897;1;1;1
1299198018;1;1;1
24785198203;1;1;1
335616074;0;1;1
17438930;1;1;1
17416245;1;1;1
3486747889;1;1;1
132859105;1;1;1
17435593;1;1;1
69391200;1;1;1
540012331;1;1;1
821816101;0;1;1
558815836;1;1;1
822060199;1;1;1
1748875;1;1;1
1335426405;1;1;1
3102742553;1;1;1
2080451373;1;1;1
47605199480;1;1;1
646111383;1;1;1
845534756;1;1;1
1746830;1;1;1
330125146;1;1;1
17415440;1;1;1
1749304;1;1;1
129926496;1;1;1
683039790;1;1;1
892834613;1;1;1
1303021232;1;1;1
68047610;1;1;1
12993301;1;1;1
1319412539;1;1;1
129947195;1;1;1
12993308;1;1;1
1748657;1;1;1
129947605;1;1;1
378638700;1;0;1
1748896;1;1;1
1748897;1;1;1
1748893;1;1;1
1303059414;1;1;1
822020740;1;1;1
62240203380;1;1;1
17441108;1;1;1
335646296;0;0;1
129931898;1;1;1
17424958;1;1;1
676220207;1;1;1
1557643800;1;1;1
3396557154;1;1;1
17424951;1;1;1
289176939;1;0;0
896829312;1;1;1
92904826;1;1;0
2496129141;1;1;1
645315694;1;1;1
316798257;1;1;1
888139218;1;0;0
1287415607;1;1;1
646114265;1;1;1
129912670;1;1;1
2147335501;1;1;1
115373754;1;0;1
129912676;1;1;1
290765537;1;1;1
13741325;1;1;1
85213911;1;1;1
2077329066;1;1;1
129934282;1;1;1
129912389;1;1;1
29144713;1;1;1
481637963;1;0;0
17415133;1;1;1
69396315;1;0;1
2867620792;1;1;1
321648666;1;1;1
844729085;1;1;1
646136473;1;1;1
335620634;1;1;1
259331611;1;1;1
20101124961;1;1;1
822015726;1;1;1
673033965;1;1;1
1618628824;0;1;1
259325569;1;1;1
335620521;1;1;1
17422652;1;1;1
17429608;1;1;1
19675343989;1;1;1
335615967;1;1;1
17431178;1;1;1
693943531;1;1;1
1323760380;1;1;1
291427257;1;1;1
335621217;1;1;1
914516148;1;1;1
129942739;1;1;0
17425459;1;1;1
17415836;1;1;1
693935297;1;1;1
914550621;1;1;1
17411807;1;1;1
683034222;1;1;1
1287428675;1;1;1
1555741334;1;1;1
13721320;1;1;1
17442622;1;1;1
646156308;1;1;1
5334036114;1;1;1
3939247232;1;0;1
17412593;1;1;1
2421845839;1;1;1
64616126;1;1;1
900231229;1;1;1
6080434146;1;1;1
822048350;1;1;1
6461792;1;1;1
1608034913;1;1;1
17648596;1;0;0
12741210081;1;0;0
17447833;1;1;1
17447836;1;1;1
325712541;1;1;1
1749044;1;1;1
836460158;1;1;1
673031052;1;1;1
1749680;1;1;1
17412042;1;1;1
17435928;1;1;1
63156939;1;0;0
1274143939;1;1;1
129957169;1;1;1
174198432;1;1;1
335616535;1;1;1
1544043463;1;1;1
17433854;1;1;1
335632062;1;0;0
4714742473;1;1;1
582695518;1;1;1
12445198186;1;1;1
132378925;1;1;1
201011196922;1;0;1
123898342;1;1;1
543060175;1;1;1
3269198843;1;1;1
1303029097;1;1;1
201011196954;0;0;1
646111404;1;1;1
754558580;1;1;1
646111403;1;1;1
129950599;1;1;1
673029691;1;1;1
77536939;1;0;0
3352200669;1;1;1
17419257;1;0;1
129933951;1;1;1
1200201011;1;1;1
123917033;1;1;1
17436352;1;1;1
900221500;1;1;1
1745511;1;1;0
88818391;1;1;1
900250606;0;0;1
561716138;1;1;1
51313030;1;1;1
349119257;1;1;1
1031056173;1;1;1
666124611;1;1;1
1299196752;1;1;1
693951873;1;1;0
17420886;1;1;1
3278729016;1;1;1
17430633;1;1;1
17439591;1;1;1
82209115;1;1;1
822015404;0;1;0
17439756;1;1;1
68309135;1;1;1
4760534263;1;1;1
12998201;1;1;1
821847841;1;1;1
693910929;1;0;1
174204631;1;1;1
24961204035;1;1;1
3939221430;1;1;1
291439263;1;0;0
70182686;1;1;1
109296939;0;0;1
326912559;1;1;1
1529053999;1;1;1
646132787;1;1;1
129949024;1;1;1
3125157485;0;0;1
17451048;1;0;1
509576939;0;0;1
2010115539;1;1;1
1204216595;1;1;0
900215598;1;1;1
17422625;1;1;1
105783;1;1;1
2097792;1;1;1
69394766;1;1;1
1323720775;1;1;1
646122747;1;1;1
2056229311;1;0;1
876712813;1;1;1
1303048983;1;1;1
864120655;0;1;1
17442831;1;1;1
50352206868;1;1;1
69395742;1;1;1
508922001;1;1;1
821816347;1;1;1
1031034010;1;1;1
12874207042;1;1;1
2546613189;1;1;1
12992914;1;1;1
2076456534;0;0;1
693924785;1;1;1
12992497;1;1;1
844728960;1;1;1
174701;1;1;1
174702;1;1;1
900225532;1;1;1
129953292;1;1;1
2083660023;1;1;1
74737474;1;1;1
28615879;1;1;1
2871731027;1;1;1
17435916;1;1;1
822029252;1;1;1
1303058299;1;1;1
137204121;1;1;1
17413097;1;1;1
1091330427;1;1;1
17448971;1;1;1
2016119875;0;1;1
5030031463;1;1;1
1742860;1;1;1
2496149609;1;1;1
2478535332;1;1;1
822028676;1;1;1
335615763;1;1;1
33569002;1;1;1
32578308;1;1;1
4783621392;1;1;1
482645638;0;1;1
1748304;1;1;1
693914585;1;1;1
17649023;1;1;1
32787204253;1;1;1
129929695;1;1;1
646110361;1;1;1
646119541;1;1;1
129925761;1;1;1
693948500;1;1;1
844734735;1;0;0
129930962;1;1;1
3477957854;1;1;1
17424973;1;1;1
896828791;1;1;1
129941412;1;1;1
174852;1;1;1
17441765;1;1;1
335615960;1;1;1
693934867;1;1;1
20101115598;1;1;1
17433083;1;1;1
332029105;1;1;1
556320764;1;0;0
17459253;1;1;1
32575541;1;1;1
3434734694;1;1;1
17420751;1;1;1
70117052;1;1;1
2138521476;1;1;1
69393367;1;1;1
4928935146;1;1;1
325750173;1;1;1
3259213760;1;0;0
1767618068;1;1;1
1449220384;0;1;1
17451043;1;1;1
129915734;1;1;1
646164252;1;1;1
12736900;1;1;1
252558437;1;1;1
646136057;1;1;1
1323720783;1;1;1
4688754823;1;1;1
20910846;1;1;1
69393212;1;1;1
3335325562;1;0;1
4199829252;1;1;1
1747843;1;1;1
346210229;1;1;1
646112182;1;1;1
5400210324;1;1;1
9119205379;1;1;1
2045453755;1;1;1
329212834;1;1;1
3278736351;1;1;1
17449788;1;1;1
1744134;1;1;1
291441887;1;1;1
836844806;1;1;1
17449544;1;1;1
176421013;1;1;1
911612400;1;1;1
12996453;1;1;1
82208787;1;1;1
646126347;1;1;1
4788934867;1;0;0
693939384;0;1;1
17425542;1;1;1
335613767;1;1;1
335621473;1;1;1
335613768;1;1;1
55885578;1;0;1
1303060804;1;1;1
1741273;1;1;1
17425369;1;1;1
646129944;1;1;1
1746774;0;1;0
90028866;1;0;1
17429405;1;1;1
701812052;1;1;1
124009116;0;1;1
17432613;1;0;1
1749063;1;1;1
129924990;1;1;1
17413243;1;1;1
17412843;1;1;1
558843443;1;1;1
887912437;1;1;1
4723251400;1;1;1
1624531590;1;1;1
191610881;1;1;1
70244013;1;1;1
1748422;1;1;1
137174;1;1;1
17425160;1;1;1
335615994;1;1;1
132379182;1;1;1
539648617;1;1;1
12993356;1;1;1
28620495;1;1;1
326920819;1;1;1
17420559;1;1;1
291430517;1;1;1
1748687;1;1;1
646110912;1;1;1
4123030933;1;1;1
17453824;1;1;1
32238262;1;1;1
325712586;1;1;1
17435706;1;1;1
174197949;1;1;1
15576198385;1;1;1
6667719;1;1;1
174197019;1;1;1
354922837;1;1;1
12995588;1;1;1
1287433964;1;1;1
2891759492;0;1;1
12993223;1;1;1
291427435;1;0;1
693918068;1;0;0
132938364;1;1;1
2871631115;1;1;1
129957809;1;1;1
29169203476;1;1;1
3939242000;1;1;1
291431477;1;1;1
249763997;0;1;1
5832129522;1;1;1
20101112337;1;1;1
17448305;1;1;1
322330818;1;1;1
17451701;1;1;1
17415497;1;1;1
1372593;1;1;1
4156457858;1;1;1
123929208;1;1;1
129912445;1;1;1
129947147;1;1;1
287173356;1;1;1
17423393;1;1;1
17648437;1;1;1
888134372;0;1;1
69391126;1;0;0
3084436937;0;1;1
129933597;1;1;1
41887207176;1;1;1
1285013113;1;1;1
646127647;1;1;1
17462341;1;1;1
6029429339;1;1;1
17415149;1;1;1
69397545;1;1;1
646162947;1;1;1
822015776;1;1;1
1238948287;1;1;1
48269290;0;1;1
84373201;1;1;1
17414537;1;1;1
693954046;0;1;1
64616859;1;1;1
20911857;1;1;1
666325145;1;1;1
1255221503;1;1;1
506076939;1;0;0
17439392;1;1;1
17442812;1;1;1
17431383;1;1;1
693957795;1;1;0
2116203424;0;1;1
3964748729;1;0;0
19896712466;1;1;1
2539442730;1;1;1
12996663;1;1;1
468876939;1;0;0
2478548886;0;1;1
12996667;1;1;1
12998400;1;1;1
3269197845;1;1;1
5048148047;1;1;1
70133214;1;1;1
1747162;1;1;1
17457660;1;1;1
1255556534;0;1;1
2130949535;1;1;1
4255331027;0;1;1
465717547;1;1;1
6939396097;1;1;1
326944485;1;1;1
17425394;1;1;1
1560031736;1;1;1
4292735174;1;1;1
693957485;0;1;0
24971299;0;0;1
17428707;1;1;1
17432244;1;1;1
919850482;1;1;1
6453200960;1;1;1
1746764;1;1;1
17434863;1;1;1
1746762;1;1;1
2105647242;1;1;0
129942525;1;1;1
1557041231;1;1;1
1529026753;1;1;1
540025054;1;1;1
2478550295;0;0;1
28716207029;1;1;1
82188245;0;1;1
1274151717;1;1;1
585807545;1;1;0
8928201099;0;1;1
320934548;1;0;1
20914992;1;1;1
174201682;1;1;1
33568469;1;1;1
13753889;1;1;1
1298934106;1;0;1
1287456320;1;1;1
821851335;1;1;1
19676360351;1;1;1
906338927;1;1;1
1742686;1;1;1
418283212;1;1;0
646132413;1;1;1
348676939;1;0;0
645313285;1;1;1
47666939;1;0;0
3124220540;1;1;1
2522748399;1;0;1
20101142102;1;1;1
2494016302;1;1;1
646120860;1;1;1
2514641943;1;1;1
1372107;1;1;1
676239582;1;1;1
8473200719;1;1;1
129935062;1;1;1
12998881;1;1;1
17453292;1;1;1
1749505;1;1;1
4968521155;1;1;1
326935666;1;1;1
4270843948;1;1;1
17415557;1;1;1
129920677;1;1;1
1303061232;1;1;1
6830197352;1;1;1
5950713157;1;1;1
17424776;1;1;1
9002201814;1;1;1
822021108;1;1;1
1743257;1;1;1
291431400;1;1;1
2076412555;0;0;1
1238925227;1;0;1
49425198849;1;1;1
1743491;1;1;1
900243404;1;1;1
17448846;1;0;1
6461396362;0;1;1
1218214743;1;1;1
291429017;1;1;1
2497151134;1;1;1
129925148;1;1;1
2045429998;1;1;1
784311427;1;1;1
1576341585;1;1;1
2076449505;1;1;1
17420857;1;1;1
17455293;1;1;1
2494042366;1;1;1
129929655;1;1;1
914513045;1;1;1
822015547;1;1;1
646126277;1;1;1
1748839;1;1;1
207648470;0;1;1
701810771;1;0;1
646155081;1;1;1
5630858621;1;1;1
335635698;1;1;1
17423033;1;1;1
12991273;1;1;1
645321263;1;1;1
3257260;1;1;1
4353157168;1;1;1
129919024;1;1;1
12996619;1;1;1
12999121;1;0;1
1376032592;1;1;1
3932639545;1;1;1
325723148;1;1;1
