Row;SYN-based;DATA-based;ACK-based
151.6.7.233151.6.92.11;0;0;1
149.14.68.166217.150.38.77;1;1;1
154.54.44.141154.54.43.150;0;0;1
64.125.30.5264.125.31.193;1;1;1
217.29.66.10294.124.64.67;1;1;1
5.56.17.2681.95.2.30;1;1;1
184.105.64.238216.66.87.106;0;1;1
213.248.89.122213.29.165.82;1;1;1
62.115.141.19569.197.1.80;0;1;0
213.140.51.5980.58.96.62;1;0;0
62.115.14.117144.208.211.65;1;1;1
62.115.114.9162.115.175.117;1;1;1
154.54.36.58130.117.2.34;1;1;1
130.117.51.70154.25.1.50;0;1;1
195.66.224.7694.31.48.86;1;1;1
68.180.235.398.136.159.246;0;0;1
64.125.26.4364.125.26.247;1;1;1
129.250.4.245129.250.2.185;0;1;1
84.116.229.24285.126.105.190;1;1;1
87.236.158.187.236.158.187;1;1;1
52.93.4.4052.93.31.41;0;1;0
83.167.55.16383.167.52.225;1;1;1
12.122.135.25012.122.28.41;0;0;1
154.54.61.34130.117.15.70;1;1;1
184.105.80.10184.105.64.102;1;1;1
84.240.1.5484.240.1.57;0;1;0
84.116.217.5095.77.57.214;1;1;1
166.49.208.63166.49.237.18;0;1;0
23.57.99.24993.191.173.160;1;1;1
87.230.113.187.230.113.9;1;1;1
77.109.128.17977.109.140.53;0;1;0
154.54.59.186154.54.59.105;1;1;1
130.117.48.157149.14.88.242;1;1;1
62.115.169.22781.173.74.64;1;1;1
154.54.39.186149.11.38.142;1;0;0
130.117.0.121130.117.1.181;1;1;1
216.66.90.78217.170.19.212;0;1;1
217.29.67.42185.157.228.7;1;1;1
217.29.66.7646.31.104.124;0;1;0
62.115.121.11980.91.247.61;0;1;1
154.54.6.221154.54.46.178;1;0;1
217.29.66.7646.31.104.120;1;0;1
62.115.138.17362.115.141.111;1;1;1
213.155.136.2062.115.140.181;1;0;0
154.25.6.18281.88.42.84;1;1;1
81.173.192.589.1.86.34;1;0;0
216.66.80.7095.59.172.26;1;0;0
213.155.136.2062.115.140.187;1;0;0
130.117.2.21130.117.50.165;1;1;1
128.241.3.198209.165.240.6;1;1;1
149.6.142.66212.12.34.14;1;1;1
145.254.2.178188.111.129.41;1;0;0
206.248.155.9206.248.155.18;0;1;0
213.19.196.190176.74.228.12;1;0;1
129.250.3.84129.250.4.166;1;1;1
154.54.58.202149.6.0.122;0;1;1
195.190.191.83216.66.88.190;1;0;0
130.117.2.21154.54.85.18;1;1;1
62.115.120.109213.248.89.22;1;1;1
129.250.3.208168.143.229.106;1;1;0
38.104.154.22205.237.40.126;1;1;1
154.54.12.22144.232.22.66;1;1;1
66.28.4.182154.54.11.66;1;1;1
77.109.181.91185.1.74.3;1;0;1
154.54.57.162149.6.187.126;1;1;0
213.253.100.9491.198.190.9;0;1;1
184.105.213.218184.105.81.150;0;1;1
193.95.129.101193.95.152.32;1;0;0
130.117.50.133154.25.12.13;1;1;1
62.115.162.249195.0.240.60;1;1;1
81.95.15.202109.202.98.13;1;1;1
62.115.119.15762.115.151.205;0;1;0
66.28.4.242154.24.17.218;0;1;0
159.213.224.49159.213.224.5;1;1;1
149.14.83.10195.160.202.14;1;1;1
38.142.132.5875.98.175.255;1;1;1
82.197.164.194213.144.148.3;1;1;1
154.24.17.21438.88.238.62;0;0;1
91.196.184.10046.18.174.222;0;1;1
154.54.27.169154.54.0.142;1;1;1
166.49.208.63166.49.237.206;1;0;0
130.117.49.77154.25.8.222;1;1;0
64.125.22.89208.185.26.138;1;1;1
64.125.24.18664.125.25.62;1;1;1
12.123.138.13312.127.188.6;1;1;1
212.90.1.7162.94.45.18;0;0;1
166.49.208.154212.49.131.58;0;1;1
184.105.223.178184.105.64.98;0;1;1
46.19.14.20446.19.14.221;1;1;1
195.22.208.117195.22.192.1;0;0;1
129.250.4.13382.112.96.178;1;1;1
4.69.153.186213.19.196.214;1;0;1
208.124.100.12208.124.100.170;0;1;0
154.54.10.26216.156.16.187;1;1;1
82.119.245.15482.113.33.46;1;1;1
62.115.133.22662.115.141.241;0;1;1
38.32.69.15423.247.4.3;0;0;1
184.105.213.69216.66.41.118;1;1;1
130.117.0.93130.117.48.182;1;1;1
213.121.193.190109.159.249.187;0;1;0
95.169.160.5495.169.160.46;1;1;1
149.11.21.102185.12.176.31;1;0;1
211.118.180.1531.208.104.45;0;0;1
88.86.98.4294.124.104.66;1;1;1
154.54.57.69154.54.56.78;1;0;0
149.6.88.15593.185.114.178;1;1;1
149.6.84.66188.65.170.3;1;1;1
62.115.156.18793.176.95.119;1;1;1
82.138.46.15382.138.46.154;1;1;1
212.74.65.49212.31.233.126;1;0;0
81.147.48.91168.168.41.209;1;1;1
166.49.237.150166.49.211.231;0;1;0
91.135.64.291.135.69.242;1;1;1
193.201.28.20212.74.85.194;1;1;0
74.6.122.6574.6.64.1;0;1;0
62.115.155.45178.19.49.196;1;1;1
154.54.36.201130.117.0.122;0;0;1
66.109.5.22966.109.6.38;1;0;0
149.14.69.6693.191.160.50;1;1;1
208.76.184.162209.221.129.10;1;1;1
62.115.171.249206.248.155.95;1;0;1
77.243.32.116212.98.126.223;1;1;1
80.91.246.78213.248.87.22;1;1;1
217.29.66.159213.248.89.210;1;1;1
188.112.66.173188.112.101.229;1;1;1
154.54.57.206154.54.37.141;0;1;1
62.115.147.7531.169.49.181;1;1;1
184.105.222.21184.105.81.166;1;1;1
211.63.36.101.213.150.77;0;1;0
213.248.93.185212.185.8.146;1;1;1
184.105.65.113202.7.162.250;1;0;0
62.115.46.121205.251.126.101;1;1;1
62.115.138.1162.115.54.186;0;0;1
217.29.66.68212.74.65.9;0;1;0
184.105.65.1365.49.108.62;1;0;0
62.115.138.1162.115.54.182;0;1;0
77.245.26.6577.245.26.9;1;1;1
31.170.10.6131.170.10.2;1;1;1
62.115.161.35212.200.250.222;1;1;1
212.239.107.172212.239.111.148;1;1;0
130.117.2.21154.54.36.58;0;1;1
84.116.134.2184.116.130.17;1;1;0
69.174.22.86104.149.35.162;1;1;1
90.147.80.210217.29.66.193;1;1;1
90.147.80.210217.29.66.192;1;1;1
90.147.80.210217.29.66.194;1;1;1
90.147.80.210217.29.66.197;1;1;1
217.147.64.29217.147.64.58;1;0;1
90.147.80.210217.29.66.198;1;1;1
168.209.6.15168.209.28.42;0;1;0
154.25.8.162149.11.162.82;1;0;1
154.54.57.106149.6.149.202;0;0;1
109.168.0.165109.168.0.38;1;1;1
82.112.97.291.189.249.56;1;1;1
217.29.66.68212.74.73.120;1;0;1
89.149.184.5889.202.172.230;1;1;1
220.128.25.137220.128.12.73;1;0;0
135.11.7.197135.11.7.4;1;1;1
68.1.0.12566.37.238.17;0;1;0
151.6.2.28151.6.2.4;1;0;0
62.115.143.2762.115.178.175;1;1;1
74.124.220.162205.134.242.114;1;1;1
192.175.28.139208.76.184.57;1;0;1
151.6.0.172151.6.12.19;0;0;1
154.54.57.69154.54.58.186;1;1;1
84.16.185.122178.251.92.130;1;1;1
84.246.25.3084.246.25.43;1;1;1
130.117.2.121149.6.32.6;0;0;1
81.17.34.87109.70.0.2;0;1;0
185.115.175.161185.115.172.238;1;1;1
80.246.207.24580.246.207.185;0;1;0
212.2.161.38185.116.64.10;0;1;1
149.6.2.13831.210.132.9;1;1;1
151.6.12.19151.6.15.215;1;0;0
62.115.116.160213.248.99.182;0;1;0
203.208.171.185203.208.182.249;0;0;1
178.236.201.20178.236.201.29;1;1;1
154.25.6.238149.14.52.11;1;1;0
212.74.73.13784.14.25.126;0;1;1
212.97.223.18946.36.204.141;0;1;1
41.175.242.1741.60.135.93;1;0;0
212.74.73.22762.23.80.58;0;1;1
154.54.39.130149.14.10.2;0;0;1
120.136.47.218119.9.64.69;0;0;1
184.105.64.142184.105.65.74;1;0;1
66.37.238.1764.253.167.238;0;1;0
141.101.63.132141.101.63.171;1;1;1
5.56.19.21088.86.96.210;0;1;0
212.74.65.25212.203.88.10;1;0;1
217.29.66.6187.248.194.223;1;0;0
217.29.66.6187.248.194.221;1;0;1
68.105.31.9768.1.3.115;0;1;1
146.188.15.246212.177.137.114;1;1;1
206.188.20.218199.59.5.20;0;1;1
216.66.85.6246.18.174.222;1;0;0
80.150.170.19880.246.32.33;1;0;1
154.54.57.162154.54.61.6;1;1;1
184.105.81.170148.163.87.19;1;0;0
154.54.30.9038.142.66.242;0;0;1
149.11.115.22185.96.186.83;1;1;1
129.250.3.183129.250.5.147;1;1;1
94.31.39.10623.57.99.243;1;1;1
195.2.25.6195.2.9.89;1;0;0
94.31.39.10623.57.99.245;1;1;1
80.91.247.8362.115.161.163;1;0;1
93.191.173.1172.52.26.214;0;1;1
81.95.2.6294.186.163.255;1;1;1
84.116.136.11784.116.229.242;1;1;1
203.150.215.140203.150.240.83;0;1;1
83.88.18.10380.63.52.6;1;1;0
80.255.14.585.56.18.254;1;1;1
149.14.10.178213.197.128.66;1;1;1
31.31.39.5581.17.63.5;1;1;0
109.159.255.92109.159.248.133;1;0;0
130.117.48.234149.6.135.86;1;1;0
130.117.48.234149.6.135.82;1;0;1
193.201.28.20212.74.69.130;1;1;1
37.128.135.12237.128.135.206;0;1;0
5.178.95.2505.178.95.252;0;0;1
80.250.27.9780.250.27.109;0;0;1
217.75.208.237217.75.209.130;1;1;0
80.81.192.11566.196.65.218;1;1;1
151.6.68.37151.6.64.99;1;0;0
149.6.22.73154.54.60.89;1;1;1
80.239.128.118141.136.107.205;0;1;0
81.31.41.14191.216.168.2;0;1;1
5.56.18.1985.56.18.10;1;1;1
217.29.66.11687.245.233.144;1;1;1
94.46.128.27216.66.81.178;1;0;0
109.73.31.205109.73.31.49;1;1;1
213.164.2.2212.9.128.103;1;1;1
154.54.6.11838.142.129.202;1;0;0
149.14.69.82213.135.0.121;1;1;1
64.125.30.23364.125.28.57;1;1;1
93.191.173.1622.21.175.82;0;1;1
129.250.3.159129.250.200.250;0;0;1
154.54.6.10238.142.129.202;0;1;1
217.29.66.11687.245.233.141;1;1;1
185.135.164.46185.120.204.74;0;0;1
217.171.32.222217.171.38.170;1;1;1
66.209.64.86136.179.32.196;0;1;1
64.71.150.2268.68.104.98;0;1;1
166.49.237.106166.49.211.237;1;0;0
154.54.61.22154.54.37.238;1;1;0
130.117.3.162149.6.136.50;1;0;1
217.71.100.82212.79.48.12;0;1;0
212.74.71.11180.169.237.18;1;1;1
208.185.205.198216.55.160.6;1;1;1
87.245.232.14187.245.228.222;1;1;1
185.78.152.75185.78.152.139;0;0;1
213.248.74.4793.176.95.119;1;1;1
62.115.141.241213.248.94.78;0;1;0
129.250.2.18129.250.3.207;1;1;1
77.26.17.92213.60.220.62;1;1;1
184.105.65.57184.105.64.141;1;1;1
184.105.222.21184.105.65.113;1;0;0
154.25.6.218154.25.2.170;1;0;1
130.117.50.133154.25.10.150;1;0;0
81.228.91.13881.228.84.173;1;0;0
199.244.76.34173.46.151.14;1;1;1
130.117.50.202154.25.1.214;1;1;1
62.115.135.18962.115.44.29;0;0;1
83.97.89.5129.134.44.202;1;0;0
151.139.94.3151.139.94.10;1;0;0
195.219.87.94195.219.188.10;1;1;1
212.239.107.145213.92.102.240;1;0;1
154.54.31.50154.24.2.22;0;1;0
12.122.135.17412.122.155.198;1;1;0
154.54.86.20638.104.94.210;1;0;0
80.91.251.13962.115.175.15;1;1;0
130.117.2.241154.25.5.10;0;0;1
149.11.38.106178.238.96.69;1;1;0
190.208.9.81190.208.9.10;1;1;1
154.54.58.186130.117.50.98;1;0;0
5.62.85.1205.62.85.18;1;1;1
62.115.119.11162.115.144.75;0;1;1
62.115.135.7862.115.113.181;1;1;1
62.115.120.11362.115.9.114;1;0;0
114.31.192.41101.0.125.124;0;1;0
77.109.128.6077.109.128.251;1;1;1
125.6.112.2125.6.139.131;1;0;0
154.54.72.106130.117.51.90;1;0;0
114.31.202.44114.31.202.87;1;1;1
62.115.137.12962.115.33.169;0;1;0
80.81.192.18781.95.2.38;1;1;1
83.167.55.4346.255.177.49;1;1;1
154.25.9.46149.14.68.166;1;1;1
185.96.186.93185.96.186.118;1;0;1
130.117.0.93154.54.59.137;1;1;1
104.44.225.194104.44.232.155;1;1;0
213.170.40.163213.192.205.58;0;1;0
80.81.192.22481.171.116.26;1;1;1
184.105.65.30216.66.87.234;0;1;1
184.105.222.2172.52.92.10;1;0;0
193.218.8.12193.218.10.59;1;1;1
154.24.1.4638.122.24.202;1;1;0
154.54.38.101130.117.14.230;1;1;1
144.121.35.116144.121.35.168;0;1;1
98.138.51.098.137.81.2;0;0;1
166.49.164.13166.49.208.154;0;1;0
144.121.35.41144.121.109.78;1;1;1
38.104.94.6264.29.159.9;1;1;1
62.115.138.17362.115.141.113;1;0;0
178.132.83.49178.132.80.17;1;0;1
69.85.197.125170.249.185.142;0;1;0
46.33.90.19885.112.0.161;1;1;1
81.183.3.4246.107.15.1;0;0;1
62.115.122.1162.115.11.230;1;0;1
212.27.56.38194.149.163.49;1;1;1
151.6.68.21151.6.64.67;0;0;1
212.74.73.120212.74.84.143;1;0;1
212.161.179.219195.141.213.10;1;0;0
104.207.214.230151.181.68.19;1;1;0
184.105.80.14184.105.64.141;1;1;1
147.92.88.198147.92.88.230;1;1;1
154.54.60.202149.14.0.26;1;0;1
81.210.6.22692.242.180.253;1;0;0
74.112.175.23874.112.174.195;1;1;1
212.74.67.7462.192.25.218;1;1;1
154.54.44.230154.54.5.238;1;0;0
216.66.90.78217.170.9.52;0;1;1
49.255.255.11101.0.127.114;0;0;1
199.212.164.174216.129.84.130;1;1;1
37.252.236.14137.252.252.202;1;1;1
5.61.87.1455.61.87.166;1;0;0
62.115.120.132213.248.102.238;0;1;0
195.12.255.26185.158.192.249;1;1;1
112.174.84.117112.174.85.38;0;0;1
154.54.63.2130.117.50.226;1;1;1
168.209.0.21168.209.218.15;1;1;1
154.54.59.186130.117.3.138;1;0;0
64.125.29.20364.125.25.9;1;1;1
62.115.138.23662.115.141.199;1;1;0
64.125.54.186173.219.152.170;1;1;1
129.250.2.6129.250.5.118;1;0;0
80.84.254.7481.4.77.70;1;1;1
80.239.135.5262.115.112.247;1;1;1
154.54.57.206154.54.59.14;1;1;1
213.248.67.39194.228.190.246;1;1;1
154.54.57.206154.54.57.241;1;1;1
213.155.136.16762.115.122.191;1;1;1
62.115.112.12369.197.1.80;1;0;0
89.149.143.21846.33.90.198;1;1;1
93.191.173.1622.21.175.232;0;1;0
166.49.237.80166.49.208.61;1;1;1
62.115.133.22662.115.136.19;0;1;1
154.25.6.186149.6.138.126;1;1;1
154.54.6.11838.122.47.118;1;0;1
203.190.250.178180.180.249.162;1;1;1
62.115.151.47213.80.87.73;1;1;1
154.54.30.5438.142.221.106;1;1;1
154.54.44.162154.54.83.254;1;0;0
154.54.45.162154.54.30.6;1;1;1
154.25.8.102130.117.242.90;0;0;1
212.74.84.143217.111.216.110;1;0;1
188.93.159.4231.193.183.177;0;0;1
